num	par		10block		seq
100	0.005681	0.006138	0.103390
200	0.009909	0.010266	0.412704
300	0.014415	0.014235	0.921367
400	0.019311	0.018346	1.637830
500	0.023822	0.022450	2.616373
600	0.029737	0.026391	3.710932
700	0.037592	0.031137	5.074617
800	0.048969	0.035251	6.589102
900	0.061077	0.039395	8.292466
1000	0.067649	0.043588	10.289279
